priority,company,status,next_action
1,Air IT,draft_staged,send once after explicit approval then verify Gmail Sent
2,BCN Group,draft_staged,send once after explicit approval then verify Gmail Sent
3,Acora,draft_staged,send once after explicit approval then verify Gmail Sent
4,ramsac,draft_staged,send once after explicit approval then verify Gmail Sent
5,Quiss,draft_staged,send once after explicit approval then verify Gmail Sent
6,Bluecube,draft_staged,send once after explicit approval then verify Gmail Sent
7,Fifosys,draft_staged,send once after explicit approval then verify Gmail Sent
8,NormCyber,draft_staged,send once after explicit approval then verify Gmail Sent
9,Cyber Tec Security,draft_staged,send once after explicit approval then verify Gmail Sent
10,Mitigo,draft_staged,send once after explicit approval then verify Gmail Sent
